일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2022년 08월 09일 15시,0,17.4,112.8,996,18,65,330,-,중형,북북동,44,null
2022년 08월 09일 15시,12,19.5,112.1,996,18,65,330,-,중형,북북서,20,60
2022년 08월 09일 15시,24,20.7,110.9,996,18,65,330,-,중형,북서,15,110
2022년 08월 09일 15시,36,21.1,108.7,996,18,65,330,-,중형,서북서,19,140
2022년 08월 09일 15시,48,21.2,106.5,996,18,65,330,-,중형,서,19,170
2022년 08월 09일 15시,72,21.3,102.1,1000,15,54,0,-,-,서,19,230
2022년 08월 09일 21시,0,18.2,112.7,996,18,65,330,-,중형,북북서,12,null
2022년 08월 09일 21시,12,20.1,111.6,996,18,65,330,-,중형,북북서,20,60
2022년 08월 09일 21시,24,20.9,110.1,996,18,65,330,-,중형,서북서,15,110
2022년 08월 09일 21시,36,21.1,107.8,996,18,65,330,-,중형,서,20,140
2022년 08월 09일 21시,48,21.2,105.7,998,17,61,320,-,중형,서,18,170
2022년 08월 09일 21시,72,21.3,101.4,1002,15,54,0,-,-,서,19,230
2022년 08월 10일 03시,0,18.9,112.3,996,18,65,330,-,중형,북북서,13,null
2022년 08월 10일 03시,12,19.9,111.1,996,18,65,330,-,중형,북서,14,60
2022년 08월 10일 03시,24,20.6,109.3,996,18,65,330,-,중형,서북서,17,110
2022년 08월 10일 03시,36,21,106.9,996,18,65,330,-,중형,서,21,140
2022년 08월 10일 03시,48,21.2,104.2,1000,15,54,0,-,-,서,23,170
2022년 08월 10일 09시,0,19.3,111.5,994,18,65,330,-,중형,서북서,21,null
2022년 08월 10일 09시,12,20.2,109.8,996,18,65,330,-,중형,서북서,17,60
2022년 08월 10일 09시,24,20.4,107.8,996,18,65,330,-,중형,서,18,110
2022년 08월 10일 09시,36,20.6,105.4,998,17,61,320,-,중형,서,21,140
2022년 08월 10일 09시,48,20.8,102.7,1000,15,54,0,-,-,서,24,170
2022년 08월 10일 15시,0,20.2,110.6,996,18,65,330,-,중형,북서,27,null
2022년 08월 10일 15시,12,20.7,108.2,996,18,65,330,-,중형,서북서,21,60
2022년 08월 10일 15시,24,21,106,998,17,61,320,-,중형,서,20,110
2022년 08월 10일 15시,36,21.1,103.4,1000,15,54,0,-,-,서,22,140
2022년 08월 10일 21시,0,20.8,109.1,996,18,65,300,-,중형,서북서,28,null
2022년 08월 10일 21시,12,21,106.8,996,18,65,250,-,소형,서,20,60
2022년 08월 10일 21시,24,21.1,104.5,1000,15,54,0,-,-,서,20,110
2022년 08월 11일 03시,0,21.1,108,998,18,65,300,-,중형,서북서,14,null
2022년 08월 11일 03시,12,21.3,105.9,998,17,61,200,-,소형,서,18,60
2022년 08월 11일 03시,24,21.2,103.7,1000,15,54,0,-,-,서,19,110
2022년 08월 11일 09시,0,21.5,107,998,15,54,0,-,-,서북서,25,null
